table_id,game_id,player_name,player_type,bet_number,opponents,call,current,final,pot,allowed,hand1,hand2,community1,community2,community3,community4,community5
5,401,players_1,AlwaysCallPlayer,1,1,5,5,10,15,True,4-hearts,9-diamonds,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
5,401,players_1,AlwaysCallPlayer,2,1,0,10,10,20,True,4-hearts,9-diamonds,9-clubs,A-clubs,A-diamonds,Z-N/A,Z-N/A
5,401,players_1,AlwaysCallPlayer,3,1,0,10,10,20,True,4-hearts,9-diamonds,5-spades,9-clubs,A-clubs,A-diamonds,Z-N/A
5,402,players_1,AlwaysCallPlayer,1,1,0,10,10,20,True,4-clubs,9-diamonds,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
5,402,players_1,AlwaysCallPlayer,2,1,0,10,10,20,True,4-clubs,9-diamonds,7-diamonds,9-hearts,Q-diamonds,Z-N/A,Z-N/A
5,402,players_1,AlwaysCallPlayer,3,1,0,10,10,20,True,4-clubs,9-diamonds,5-clubs,7-diamonds,9-hearts,Q-diamonds,Z-N/A
5,402,players_1,AlwaysCallPlayer,4,1,0,10,10,20,True,4-clubs,9-diamonds,4-diamonds,5-clubs,7-diamonds,9-hearts,Q-diamonds
5,403,players_1,AlwaysCallPlayer,1,1,5,5,10,15,True,K-diamonds,Q-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
5,403,players_1,AlwaysCallPlayer,2,1,0,10,10,20,True,K-diamonds,Q-spades,2-diamonds,6-clubs,8-hearts,Z-N/A,Z-N/A
5,404,players_1,AlwaysCallPlayer,1,1,0,10,10,20,True,8-spades,9-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
5,404,players_1,AlwaysCallPlayer,2,0,0,10,10,20,True,8-spades,9-clubs,3-diamonds,7-clubs,9-hearts,Z-N/A,Z-N/A
5,405,players_1,AlwaysCallPlayer,1,1,5,5,10,15,True,10-hearts,J-clubs,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
5,405,players_1,AlwaysCallPlayer,2,1,0,10,10,20,True,10-hearts,J-clubs,5-clubs,6-clubs,6-diamonds,Z-N/A,Z-N/A
5,405,players_1,AlwaysCallPlayer,3,1,0,10,10,20,True,10-hearts,J-clubs,5-clubs,6-clubs,6-diamonds,Q-clubs,Z-N/A
5,405,players_1,AlwaysCallPlayer,4,1,100,10,110,120,True,10-hearts,J-clubs,5-clubs,6-clubs,6-diamonds,Q-clubs,Z-N/A
5,405,players_1,AlwaysCallPlayer,5,1,100,110,210,320,False,10-hearts,J-clubs,5-clubs,6-clubs,6-diamonds,Q-clubs,Z-N/A
5,405,players_1,AlwaysCallPlayer,6,1,0,210,210,420,True,10-hearts,J-clubs,5-clubs,6-clubs,6-diamonds,9-spades,Q-clubs
5,405,players_1,AlwaysCallPlayer,7,1,100,210,310,520,True,10-hearts,J-clubs,5-clubs,6-clubs,6-diamonds,9-spades,Q-clubs
5,405,players_1,AlwaysCallPlayer,8,1,100,310,410,720,False,10-hearts,J-clubs,5-clubs,6-clubs,6-diamonds,9-spades,Q-clubs
5,406,players_1,AlwaysCallPlayer,1,1,0,10,10,20,True,K-clubs,Q-hearts,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
5,406,players_1,AlwaysCallPlayer,2,1,0,10,10,20,True,K-clubs,Q-hearts,A-spades,Q-diamonds,Q-spades,Z-N/A,Z-N/A
5,406,players_1,AlwaysCallPlayer,3,0,0,10,10,20,True,K-clubs,Q-hearts,5-hearts,A-spades,Q-diamonds,Q-spades,Z-N/A
5,407,players_1,AlwaysCallPlayer,1,1,5,5,10,15,True,10-spades,2-spades,Z-N/A,Z-N/A,Z-N/A,Z-N/A,Z-N/A
5,407,players_1,AlwaysCallPlayer,2,1,0,10,10,20,True,10-spades,2-spades,4-hearts,A-hearts,J-spades,Z-N/A,Z-N/A
5,407,players_1,AlwaysCallPlayer,3,1,0,10,10,20,True,10-spades,2-spades,4-hearts,A-hearts,J-hearts,J-spades,Z-N/A
5,407,players_1,AlwaysCallPlayer,4,1,0,10,10,20,True,10-spades,2-spades,4-hearts,9-clubs,A-hearts,J-hearts,J-spades
